date,strategy_1,strategy_2,strategy_3
2025-04-11,994.1626286611854,1005.070291213174,1162.1256303224293
2025-04-14,1018.4757056629471,1031.0803164509318,1201.4415590216845
2025-04-15,1029.1835793585021,1038.1719038407912,1202.6820908759075
2025-04-16,1021.783905852751,1021.9213378805878,1177.0000188051913
2025-04-17,1019.2235988843248,1014.7013213593259,1174.9619106505122
2025-04-22,1021.8186055041543,1015.6492748806559,1210.9299753733771
2025-04-23,1040.6405294608405,1042.4703047523099,1259.2216040510116
2025-04-24,1043.635867393141,1044.5805436688279,1265.4127842079413
2025-04-25,1045.2390269936523,1044.9893848214783,1278.0556898074683
2025-04-28,1047.7108658566226,1046.365353676092,1276.2456769501196
2025-04-29,1053.041755653547,1052.7161106616973,1281.6317537019067
2025-04-30,1055.2356561313984,1053.0254751696825,1277.4540120219478
2025-05-02,1073.2536577884748,1082.9964505649184,1331.8164872091395
2025-05-06,1072.2636292493862,1082.2785941123896,1324.0624588378093
2025-05-07,1069.8312696617083,1078.1304670442526,1315.4521106550335
2025-05-08,1078.2153349673536,1090.8802251351094,1369.5687212448336
2025-05-09,1080.1272557944533,1091.8876756316706,1366.351260600641
2025-05-12,1100.3803179929591,1130.4606387473177,1418.0063231180673
2025-05-13,1101.4962834459768,1130.611922517003,1435.2425092032208
2025-05-14,1098.7375463288022,1135.6635402729673,1435.7544100741031
2025-05-15,1097.618452646401,1131.6317980232775,1420.7753072641021
2025-05-16,1104.4532170728212,1134.6550521071856,1424.4272869975505
2025-05-19,1103.7979484580546,1130.1265970245058,1422.9879294621505
2025-05-20,1107.4522534332818,1129.345154844639,1432.0742217470424
2025-05-21,1101.7585618561507,1126.6175164167594,1441.7141398026179
2025-05-22,1093.1642520663838,1120.448277205895,1441.1439307166966
2025-05-23,1087.465760560846,1111.4372510680823,1405.7334443331013
2025-05-27,1097.6646514125523,1117.2673960951997,1426.596018435982
2025-05-28,1097.6629749790263,1119.8962931067538,1425.8111115579811
2025-05-29,1091.9854973897066,1114.571650062675,1413.5708443058556
2025-05-30,1090.4576872078997,1109.6248051569942,1388.038796508184
2025-06-02,1088.0560305888594,1102.529584567262,1391.5770464591815
2025-06-03,1096.7210080532755,1118.5537490913568,1412.4631216402647
2025-06-04,1101.4678939628782,1123.5559168191191,1423.703191708928
2025-06-05,1100.9518981857645,1126.9062560368247,1419.7406669146003
2025-06-06,1104.373403413414,1128.9541870358125,1429.3007301255184
2025-06-09,1105.389528978443,1133.4284164154092,1468.6926664162213
2025-06-10,1106.3556062060234,1132.621145254674,1466.6347113273478
2025-06-11,1104.4899275546118,1135.8371357941514,1465.7871860374862
2025-06-12,1098.5443799132295,1124.0272059571,1436.4173575140007
2025-06-13,1092.238182052869,1114.3098897544407,1423.0744462651078
2025-06-16,1095.1796470668478,1122.1796943174018,1446.2095796373756
2025-06-17,1088.5152071044224,1119.3181038782068,1432.9372603089773
2025-06-18,1087.775866944637,1116.8157499275062,1431.4342776524877
2025-06-19,1081.1853122575885,1103.102702158803,1413.0186648469332
2025-06-20,1084.8127586443916,1107.303199845541,1411.3909660433967
