date,sp500_ew,msci_europe,msci_em,msci_ageing,euro_govbond_1_5y
2025-03-26,5.813948800223214,34.21,40.775,9.443247767857144,141.25
2025-03-27,5.771017868715859,34.095,40.98,9.579012359966669,141.35
2025-03-28,5.6737437886764575,33.835,40.015,9.338733721252426,141.47
2025-03-31,5.680958306369603,33.31,39.755,9.297090690579642,141.52
2025-04-01,5.739516816455111,33.69,40.215,9.384319466320765,141.55
2025-04-02,5.753110087517273,33.54,39.98,9.368871487793644,141.39
2025-04-03,5.41795149321267,32.66,38.595,9.155348416289593,141.71
2025-04-04,5.221303057964399,31.015,36.55,8.61294386125057,141.94
2025-04-07,5.028182134996332,29.655,35.19,8.085797413793104,141.63
2025-04-08,5.152721111719607,30.47,35.85,8.324746714129244,141.94
2025-04-09,4.977696648707881,29.37,34.465,8.003630718655831,141.95
2025-04-10,5.072960927034027,30.46,35.91,8.422122666785747,142.11
2025-04-11,4.986174295774648,30.45,35.845,8.304533450704227,142.09
2025-04-14,5.149973874350163,31.255,36.67,8.6840076218169,142.06
2025-04-15,5.201227728038294,31.78,36.95,8.830945838134916,142.16
2025-04-16,5.1406931040533435,31.71,36.52,8.714958764695561,141.98
2025-04-17,5.120735941212708,31.63,36.455,8.661999471970429,142.13
2025-04-22,5.058687915936954,31.8,36.665,8.831842381786341,142.16
2025-04-23,5.210141783788561,32.37,37.55,9.033505701405463,142.13
2025-04-24,5.248889225500527,32.505,37.75,8.967804267650159,142.43
2025-04-25,5.23585586061246,32.64,37.675,9.05642555438226,142.27
2025-04-28,5.250988311006043,32.79,37.75,9.06347058050959,142.32
2025-04-29,5.2676101010101,32.895,37.915,9.240543258673693,142.23
2025-04-30,5.28357605720844,33.09,38.06,9.185375209675994,142.36
2025-05-02,5.3947584329349265,33.695,39.185,9.376058432934927,142.28
2025-05-06,5.368719563687544,33.685,39.46,9.322204433497536,142.35
2025-05-07,5.378479953978228,33.53,39.085,9.322031816974954,142.34
2025-05-08,5.4879993765030735,33.705,39.195,9.403279593836288,142.39
2025-05-09,5.481527162798969,33.835,39.425,9.424701698230638,142.24
2025-05-12,5.66703707044286,34.295,40.765,9.578718318751692,142.11
2025-05-13,5.703923462088698,34.3,40.675,9.57592989985694,142.0
2025-05-14,5.639880705208521,34.245,41.015,9.525382360837659,142.07
2025-05-15,5.66611236256369,34.095,40.87,9.488093546080272,142.23
2025-05-16,5.728848159097017,34.27,40.975,9.612480515990326,142.15
2025-05-19,5.697101494396015,34.345,40.71,9.665468333036825,142.32
2025-05-20,5.706448413401879,34.555,40.62,9.769933522425102,142.28
2025-05-21,5.597621193397474,34.52,40.62,9.749797201871303,142.18
2025-05-22,5.528930407801419,34.33,40.35,9.584708289007093,142.28
2025-05-23,5.468405828933473,34.05,40.27,9.555839493136219,142.45
2025-05-27,5.577973914194915,34.5,40.205,9.65223715572034,142.43
2025-05-28,5.5852964930924545,34.27,40.21,9.744293304994686,142.42
2025-05-29,5.521236918476827,34.235,40.14,9.616203719989446,142.46
2025-05-30,5.541592315149378,34.26,39.67,9.575022252577774,142.45
2025-06-02,5.470961672930689,34.235,39.495,9.66073004982082,142.56
2025-06-03,5.570628627968337,34.265,39.945,9.776682058047493,142.59
2025-06-04,5.570462818603835,34.495,40.3,9.863928352456862,142.45
2025-06-05,5.547419783292555,34.52,40.58,9.825655365256901,142.35
2025-06-06,5.58865626645603,34.63,40.71,9.822720510795156,142.45
2025-06-09,5.581316549912435,34.585,41.05,9.84589316987741,142.41
2025-06-10,5.607635297207388,34.56,41.195,9.813657095333973,142.4
2025-06-11,5.591159397579872,34.465,41.325,9.765663793853923,142.41
2025-06-12,5.527371190537857,34.355,40.72,9.772326469826469,142.54
2025-06-13,5.506852493074793,34.075,40.175,9.742667070637118,142.38
2025-06-16,5.520124643196955,34.18,40.69,9.701282968601333,142.44
2025-06-17,5.514493597003224,33.885,40.49,9.531402526352469,142.41
2025-06-18,5.520211255335832,33.765,40.345,9.564664604930742,142.43
2025-06-19,5.483522968505308,33.505,39.865,9.513130328867234,142.53
2025-06-20,5.519319258809235,33.545,40.08,9.562656873806633,142.48
2025-06-23,5.5011972183828615,33.46,40.055,9.52590791292329,142.42
2025-06-24,5.55443694004135,33.845,40.9,9.754862594762233,142.52
2025-06-25,5.523255152242903,33.6,41.025,9.703202676044258,142.46
2025-06-26,5.514736302248056,33.625,41.05,9.823857380972735,142.63
2025-06-27,5.543994794777712,34.045,40.94,9.841687857325711,142.55
2025-06-30,5.527107203461734,33.845,40.73,9.816776259969455,142.5
2025-07-01,5.592311308767471,33.8,40.82,9.876489834815755,142.62
2025-07-02,5.591707747075776,33.875,40.925,9.766418036955415,142.51
2025-07-03,5.6490433821027555,34.02,41.31,9.885390438924803,142.67
2025-07-04,5.605456953642384,33.865,40.825,9.803174562744099,142.76
2025-07-07,5.617559067224738,34.01,40.96,9.818531434184678,142.66
2025-07-08,5.638980083589219,34.15,41.125,9.802891504605938,142.59
2025-07-09,5.625570867821487,34.435,41.02,9.84547358989675,142.63
2025-07-10,5.7122608547008555,34.625,41.2,9.915830555555555,142.52
2025-07-11,5.649508768928053,34.24,41.105,9.7988720164257,142.57
2025-07-14,5.649747277715854,34.22,41.19,9.794238403498243,142.63
2025-07-15,5.653691568238642,34.11,41.78,9.732331450987155,142.68
2025-07-16,5.5563216864363065,33.87,41.505,9.707556730273337,142.71
2025-07-17,5.675487925830099,34.23,42.21,9.877350539025441,142.77
2025-07-18,5.663117935483871,34.2,42.135,9.832482580645161,142.74
2025-07-21,5.658155451047456,34.19,42.215,9.759914493373238,142.86
2025-07-22,5.652109589041096,34.045,41.93,9.7865923593976,142.93
2025-07-23,5.688023959218351,34.4,42.28,9.994626168224299,142.81
2025-07-24,5.701156584992343,34.47,42.135,9.921426110260336,142.5
2025-07-25,5.703728534923339,34.37,41.915,9.832337734241907,142.55
2025-07-28,5.769341560234725,34.34,42.225,9.86527442181567,142.65
2025-07-29,5.786638371589432,34.395,42.5,9.87370463404071,142.7
2025-07-30,5.829481322343036,34.385,42.52,9.890852990178885,142.59
2025-07-31,5.788683311432326,34.13,42.445,9.835787341217696,142.6
2025-08-01,5.606241194751381,33.31,41.495,9.562475397099448,142.79
2025-08-04,5.681725756266205,33.77,41.87,9.72402852203976,142.8
2025-08-05,5.663048341109383,33.83,42.02,9.79270152928979,142.71
2025-08-06,5.636843211253109,33.8,41.84,9.799470366240673,142.73
2025-08-07,5.607426189455636,34.11,42.395,9.848859622803257,142.81
2025-08-08,5.633697010052409,34.19,42.15,9.92295622476158,142.72
2025-08-11,5.64336731530911,34.165,42.425,9.934569485104184,142.63
2025-08-12,5.65326394243125,34.225,42.5,10.017491219052513,142.68
2025-08-13,5.701291225222145,34.425,42.92,10.192268668831167,142.85
2025-08-14,5.712275588184784,34.315,42.66,10.218542417997595,142.85
2025-08-15,5.691721210566812,34.325,42.5,10.23826301615799,142.75
2025-08-18,5.712874528301888,34.33,42.79,10.262562178387652,142.69
2025-08-19,5.746512965825176,34.59,42.64,10.268663060278207,142.82
2025-08-20,5.728840442880439,34.655,42.445,10.213159600034329,142.86
2025-08-21,5.74459982766049,34.635,42.63,10.267706591986212,142.75
2025-08-22,5.798935381988904,34.795,43.005,10.463246265471618,142.87
2025-08-26,5.780120254251847,34.38,43.01,10.276155299776672,142.78
2025-08-27,5.816572570250064,34.42,42.78,10.453013018819282,142.88
2025-08-28,5.766484848484849,34.375,42.725,10.406969696969698,142.93
2025-08-29,5.770902986990756,34.14,42.445,10.39536845258473,142.89
2025-09-01,5.776218464429071,34.23,42.495,10.360528012639849,142.77
2025-09-02,5.742780632411067,33.74,42.445,10.203187188520364,142.76
2025-09-03,5.7264683989366265,33.995,42.665,10.272364291227168,142.76
2025-09-04,5.763424671645635,34.19,42.545,10.286064039831743,142.94
2025-09-05,5.733450883331911,34.12,42.735,10.368393786805495,142.96
2025-09-08,5.726586507396702,34.31,43.09,10.391563934704983,143.03
2025-09-09,5.7418657098923624,34.35,43.505,10.432403895438235,143.0
2025-09-10,5.726077225690584,34.335,43.97,10.407368083468741,142.93
2025-09-11,5.796411148043978,34.495,43.985,10.45979800562516,141.36
2025-09-12,5.784956277166964,34.475,44.1,10.459020710815647,141.26
2025-09-15,5.754599489795918,34.615,44.22,10.45134693877551,141.33
2025-09-16,5.66823188100455,34.24,44.09,10.301955376706555,141.34
